City,Latitude,Longitude,,
Albany,42.65258,-73.75623,,
Binghamton,42.09884,-75.92065,,
Buffalo,42.88023,-78.87874,,
Ithaca,42.44396,-76.50188,,
Jamestown,42.09555,-79.23861,,
Manhattan,40.77668,-73.97132,,
Plattsburgh,44.69537,-73.45859,,
Potsdam,44.66996,-74.98294,,
Poughkeepsie,41.70829,-73.92391,,
Rochester,43.16103,-77.61092,,
Stony Brook,40.90277,-73.13385,,
Syracuse,43.08895,-76.15448,,
Utica,43.10720,-75.25231,,
Watertown,43.97479,-75.91076,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,